name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Museum of Croydon,Central Library,Croydon Clocktower,Katharine Street,Croydon,http://www.museumofcroydon.com/,1.00E+11,E09000008,Fairfield,E05011468,51.37138431,-0.097931813,532492.4014,165308.3352
Museum of Writing,c/o Institute of English Studies,University of London Senate House,Malet Street,Camden,http://www.museumofwriting.co.uk/,5016035,E09000007,Bloomsbury,E05013653,51.52013303,-0.127116688,530038.1684,181797.0314
The Foundling Museum,40 Brunswick Square,NA,NA,Camden,http://www.foundlingmuseum.org.uk/,5002560,E09000007,King's Cross,E05013666,51.52475979,-0.12006408,530514.219,182324.0735
Freud Museum,20 Maresfield Gardens,NA,NA,Camden,https://www.freud.org.uk/,5012934,E09000007,Belsize,E05013652,51.54791475,-0.175669217,526592.764,184801.3325
Keats House,10 Keats Grove,Hampstead,NA,Camden,http://www.cityoflondon.gov.uk/keats,5015415,E09000007,Hampstead Town,E05013659,51.55506318,-0.166351857,527218.8354,185612.4092
British Museum,Great Russell Street,NA,NA,Camden,http://www.britishmuseum.org/,5027059,E09000007,Bloomsbury,E05013653,51.51846067,-0.124893237,530197.1877,181615.0128
2 Willow Road,Hampstead,NA,NA,Camden,https://www.nationaltrust.org.uk/2-willow-road,5032722,E09000007,Hampstead Town,E05013659,51.5566561,-0.167571832,527129.8261,185787.4288
British Library,96 Euston Road London,NW1 2DBÂ ,NA,Camden,http://www.bl.uk/,5037737,E09000007,King's Cross,E05013666,51.52947699,-0.125406634,530130.1731,182839.1238
Burgh House and Hampstead Museum,New End Square,Hampstead,NA,Camden,www.burghhouse.org.uk/,5067420,E09000007,Hampstead Town,E05013659,51.55767471,-0.173489583,526716.7827,185890.4426
Royal College of Physicians of London Museum,Library Archive and Museum Services,11 St Andrews Place,Regentâ€™s Park,Camden,http://www.rcplondon.ac.uk/museum-and-garden,5069347,E09000007,Regent's Park,E05013668,51.52523946,-0.143400913,528894.038,182336.0881
"Jewish Museum, London",Raymond Burton Hs,129-131 Albert Street,NA,Camden,http://www.jewishmuseum.org.uk/,5082327,E09000007,Camden Town,E05013655,51.53677278,-0.143061343,528885.0286,183619.2052
Wellcome Collection,183 Euston Road,NA,NA,Camden,http://www.wellcomecollection.org/,5083806,E09000007,Bloomsbury,E05013653,51.52538756,-0.132336523,529661.123,182372.0859
Government Art Collection,Queen's Yard,179a Tottenham Court Rd,NA,Camden,www.gac.culture.gov.uk/,5087928,E09000007,Bloomsbury,E05013653,51.52177882,-0.133320357,529603.119,181969.0495
Fenton House and Garden,Hampstead Grove,Hampstead,NA,Camden,https://www.nationaltrust.org.uk/fenton-house-and-garden,5126160,E09000007,Hampstead Town,E05013659,51.55840996,-0.178553228,526363.7461,185963.4528
Sir John Soane's Museum,13 Lincolnâ€™s Inn Fields,NA,NA,Camden,http://www.soane.org/,5137612,E09000007,Holborn & Covent Garden,E05013662,51.51648243,-0.115936351,530824.2595,181410.9889
"Grant Museum of Zoology and Comparative Anatomy, UCL",21 University Street,NA,NA,Camden,https://www.ucl.ac.uk/culture/grant-museum-zoology,5157295,E09000007,Bloomsbury,E05013653,51.52311501,-0.133078286,529616.1195,182118.0634
Petrie Museum of Egyptian Archaeology,University College London,Malet Place,NA,Camden,http://www.culture24.org.uk/se000386,5157395,E09000007,Bloomsbury,E05013653,51.52353919,-0.130912785,529765.1357,182169.0669
"Geology (and Teaching & Research) Collections, UCL",Rock Room,"Room 4, First Floor",South Wing,Camden,https://www.ucl.ac.uk/culture/geology-collection,5157402,E09000007,Bloomsbury,E05013653,51.52359052,-0.13187663,529698.1283,182173.0677
UCL Art Museum,South Cloisters,UCL,NA,Camden,http://www.ucl.ac.uk/museums/uclart,5157412,E09000007,Bloomsbury,E05013653,51.52399221,-0.131687181,529710.1293,182218.0714
Crystal Palace Museum,Anerley Hill,NA,NA,Bromley,www.crystalpalacemuseum.org.uk/,1.00E+11,E09000006,Crystal Palace & Anerley,E05013995,51.41925428,-0.075116344,533940.5738,170672.9786
Ragged School Museum,46-50 Copperfield Road,NA,NA,Tower Hamlets,http://www.raggedschoolmuseum.org.uk/,6048400,E09000030,Mile End,E05009327,51.51815155,-0.03407382,536498.868,181746.0406
The Tower of London,St Katharine's & Wapping,London,NA,Tower Hamlets,www.â€‹hrp.â€‹org.â€‹uk/â€‹TowerOfLondon/â€‹,6086565,E09000030,St Katharine's & Wapping,E05009330,51.50776272,-0.074659304,533713.5822,180515.9077
"Royal Armouries, Tower of London",HM Tower Of London,St Katharine's & Wapping,NA,Tower Hamlets,https://royalarmouries.org/visit-us/tower-of-london,6086565,E09000030,St Katharine's & Wapping,E05009330,51.50776272,-0.074659304,533713.5822,180515.9077
The Fusilier Museum London,HM Tower of London,35 Tower Hill,St Katharine's & W,Tower Hamlets,www.â€‹fusiliermuseumlondon.â€‹org,6086845,E09000030,St Katharine's & Wapping,E05009330,51.50788027,-0.073602252,533786.5896,180530.9114
Museum of the Royal Pharmaceutical Society,66-68 E Smithfield,NA,,Tower Hamlets,www.â€‹rpsgb.â€‹org/â€‹museum,6136082,E09000030,St Katharine's & Wapping,E05009330,51.50856685,-0.066684113,534264.6392,180619.9284
Museum of London Docklands,No. 1 Warehouse,West India Quay,NA,Tower Hamlets,http://www.museumoflondon.org.uk/docklands,6151122,E09000030,Canary Wharf,E05009323,51.5071062,-0.022241432,537352.9774,180539.9256
Trades Union Congress (TUC) Library Collections,Special Collections  London Metropolitan Universit,Wash Houses,Old Castle Street,Tower Hamlets,http://www.londonmet.ac.uk/tuc,6151239,E09000030,Spitalfields & Banglatown,E05009333,51.51526246,-0.072411463,533847.5884,181353.9976
Kelmscott Manor,26 Upper Mall,Hammersmith,NA,Hammersmith and Fulham,http://www.culture24.org.uk/se000423,34008094,E09000013,Hammersmith Broadway,E05013741,51.49007025,-0.233934067,522708.3981,178269.7456
Fulham Palace,Fulham Palace,Bishop's Ave,Fulham,Hammersmith and Fulham,www.fulhampalace.org/,34022825,E09000013,Palace & Hurlingham,E05013744,51.47003084,-0.213626422,524172.5335,176075.5248
Wandle Industrial Museum,The Vestry Hall Annexe,London Road,Mitcham,Merton,http://www.wandle.org/,48083242,E09000024,Cricket Green,E05013813,51.4017516,-0.166466478,527637.8128,168563.8147
Museum of Wimbledon,22 Ridgway,Wimbledon,NA,Merton,http://www.wimbledonmuseum.org.uk/,48107954,E09000024,Village,E05013825,51.42283672,-0.215074838,524199.7653,170825.0536
Wimbledon Lawn Tennis Museum,The All England Lawn Tennis Club,Church Road,Wimbledon,Merton,http://www.wimbledon.com/museum,48129052,E09000024,Village,E05013825,51.43320243,-0.212459281,524353.4992,171982.1564
Barts Pathology Museum,3rd Floor,Robin Brook Centre  St Bartholomew's ,West Smithfield,City of London,www.qmul.ac.uk/pathologymuseum/,95512892,E09000001,Farringdon Without,E05009305,51.51713619,-0.099433593,531967.337,181513.2876
St. Bartholomew's Hospital Museum,North Wing,St Bartholomewâ€™s Hospital,West Smithfield,City of London,https://www.bartshealth.nhs.uk/st-bartholomews-museum-and-archives,95512892,E09000001,Farringdon Without,E05009305,51.51713619,-0.099433593,531967.337,181513.2876
Valence House Museum,Becontree Ave,NA,NA,Barking and Dagenham,www.â€‹lbbd.â€‹gov.â€‹uk/â€‹heritage,100002560,E09000002,Valence,E05014069,51.55780231,0.135812252,548156.3576,186485.5668
Dorich House Museum,Kingston University,67 Kingston Vale,NA,Kingston upon Thames,https://www.dorichhousemuseum.org.uk/,128010892,E09000021,Coombe Hill,E05013932,51.4328253,-0.261523826,520944.1126,171858.1868
Kingston Museum (and Heritage Service),Wheatfield Way,Kingston upon Thames,NA,Kingston upon Thames,http://www.kingston.gov.uk/museum,128019799,E09000021,Kingston Town,E05013938,51.40903476,-0.298723543,518419.9144,169151.8418
The Stephens Collection,Avenue House,East End Road,Finchley,Barnet,http://www.london-northwest.com/sites/stephens,200035687,E09000003,Finchley Church End,E05013639,51.59610036,-0.192996205,525258.9904,190129.9265
Royal Air Force Museum London (RAF),Grahame Park Way,Hendon,NA,Barnet,http://www.rafmuseum.org/,200049886,E09000003,Hendon,E05013643,51.59844565,-0.236591661,522233.2369,190316.9636
Barnet Museum (and Local History Society),31 Wood Street,Barnet,Hertfordshire,Barnet,www.barnetmuseum.co.uk,200128241,E09000003,High Barnet,E05013644,51.65238108,-0.200717589,524570.1103,196375.5141
Museum of Domestic Design and Architecture,Middlesex University,9 Boulevard Drive,Beaufort Park,Barnet,http://www.culture24.org.uk/se000059,200141133,E09000003,Colindale South,E05013633,51.59561416,-0.240340162,521981.1995,189995.8336
Brent Museum and Archives,Willesden Library Centre,95 High Rd,NA,Brent,https://www.brent.gov.uk/museum,202149110,E09000005,Brondesbury Park,E05013498,51.54614396,-0.22734961,523014.3652,184516.3249
The Clockmakers' Museum,Exhibition Road,Kensington,NA,Kensington and Chelsea,http://www.clockmakers.org/,217031151,E09000020,Brompton & Hans Town,E05009389,51.49678399,-0.174916546,526786.8366,179116.7984
Leighton House Museum,12 Holland Park Road,NA,NA,Kensington and Chelsea,http://http/www.rbkc.gov.uk/subsites/museums.aspx,217039506,E09000020,Abingdon,E05009388,51.49807644,-0.201521502,524936.6333,179214.8192
Design Museum,224-238 Kensington High Street (Holland Park),NA,NA,Kensington and Chelsea,http://designmuseum.org/,217044656,E09000020,Campden,E05009390,51.49936312,-0.198585083,525136.9238,179362.9115
Kensington Palace (State Apartments and Royal Ceremon,Kensington Palace/Palace Green,NA,NA,Kensington and Chelsea,http://www.hrp.org.uk%0Bwww.kensingtonpalace@hrp.org.uk/,217064431,E09000020,Campden,E05009390,51.50468832,-0.18644659,525964.7383,179975.8844
National Army Museum,Royal Hospital Road,Chelsea,NA,Kensington and Chelsea,http://www.nam.ac.uk/,217075883,E09000020,Royal Hospital,E05009403,51.48571566,-0.158760019,527939.2362,177914.0669
RIBA Drawings and Archives Collections,Victoria and Albert Museum,Cromwell Road,Knightsbridge,Kensington and Chelsea,https://www.architecture.com/about/riba-library-and-collections,217108016,E09000020,Brompton & Hans Town,E05009389,51.49639021,-0.170521415,527093.0004,179080.6241
Natural History Museum,Cromwell Road,NA,NA,Kensington and Chelsea,http://www.nhm.ac.uk/,217108017,E09000020,Brompton & Hans Town,E05009389,51.49605236,-0.175291575,526762.8348,179034.7912
Carlyle's House,24 Cheyne Row,NA,NA,Kensington and Chelsea,https://www.nationaltrust.org.uk/carlyles-house,217110505,E09000020,Chelsea Riverside,E05009391,51.48361945,-0.168124823,527294.8913,177664.6544
The Science Museum,Exhibition Rd,Kensington,NA,Kensington and Chelsea,https://www.sciencemuseum.org.uk/,217118723,E09000020,Brompton & Hans Town,E05009389,51.49678399,-0.174916546,526786.8366,179116.7984
Victoria and Albert Museum,Cromwell Road,South Kensington,NA,Kensington and Chelsea,http://www.vam.ac.uk/,217119925,E09000020,Brompton & Hans Town,E05009389,51.49643156,-0.170623933,527085.7696,179085.0444
The Estorick Collection of Modern Italian Art,39A Canonbury Square,NA,NA,Islington,www.â€‹estorickcollection.â€‹com,5300016244,E09000019,Laycock,E05013708,51.54336953,-0.098988883,531922.3576,184431.2792
John WesleyÊ¼s House and The Museum of Methodism,Wesley's Chapel,49 City Road,NA,Islington,http://www.culture24.org.uk/se000445,5300019876,E09000019,Bunhill,E05013699,51.52307582,-0.085460513,532919.4835,182199.0655
"Wesleyâ€™s Chapel, Museum of Methodism and John Wesle",49 City Road,NA,NA,Islington,http://www.wesleychapel.org.uk/,5300019879,E09000019,Bunhill,E05013699,51.52325609,-0.084933935,532955.4871,182220.0685
London Canal Museum,12/13 New Wharf Road,Kingâ€™s Cross,NA,Islington,http://www.canalmuseum.org.uk/,5300066428,E09000019,Caledonian,E05013700,51.53371372,-0.118714556,530582.2212,183322.1623
Museum of the Order of St John,St Johnâ€™s Gate,26 St John's Ln,NA,Islington,http://www.museumstjohn.org.uk/,5300085644,E09000019,Bunhill,E05013699,51.52141165,-0.100927156,531851.3712,181986.0312
Whitehall Historic House,1 Malden Road,Cheam,Surrey,Sutton,https://whitehallmuseum.wordpress.com/,5870019263,E09000029,Cheam,E05013758,51.35885564,-0.215642786,524333.4071,163709.2684
Honeywood Museum,Honeywood Walk,Carshalton,Surrey,Sutton,http://www.friendsofhoneywood.co.uk/,5870115967,E09000029,Carshalton Central,E05013756,51.36460606,-0.163496882,527947.8484,164438.3386
Tate Modern,Bankside,NA,NA,Southwark,http://www.tate.org.uk/modern,10000813334,E09000028,Borough & Bankside,E05011095,51.50710595,-0.097789441,532110.4095,180400.8869
Fashion and Textile Museum,83 Bermondsey Street,NA,NA,Southwark,http://www.ftmlondon.org/,10000818830,E09000028,London Bridge & West Bermondsey,E05011104,51.50066771,-0.080203629,533349.551,179716.8198
Musical Museum,399 High St,Brentford,NA,Hounslow,https://www.musicalmuseum.co.uk/,10001271544,E09000018,Chiswick Riverside,E05013611,51.48739874,-0.291568435,518714.2611,177877.7613
Hampton Court Palace,Molesey,East Molesey,NA,Richmond upon Thames,https://www.hrp.org.uk/hampton-court-palace/,10002266633,E09000027,Hampton,E05013778,51.40333861,-0.336075749,515836.6121,168458.7886
Kew Palace,Royal Botanic Gardens Kew,Richmond,NA,Richmond upon Thames,https://www.hrp.org.uk/kew-palace/,10002266941,E09000027,Kew,E05013782,51.48476211,-0.289611457,518856.9723,177587.7387
Strawberry Hill House,268 Waldegrave Rd,Twickenham,NA,Richmond upon Thames,http://www.strawberryhillhouse.org.uk/,10002267260,E09000027,South Twickenham,E05013787,51.43770637,-0.333172189,515951.6376,172285.2114
Heath Robinson Museum,Pinner Memorial Park,West End Lane,Pinner,Harrow,www.heathrobinsonmuseum.org,10002293329,E09000015,Pinner South,E05013556,51.59197479,-0.385111771,511963.149,189359.7765
Headstone Manor & Museum,Headstone Manor,Pinner View,Â Harrow,Harrow,http://www.harrow.gov.uk/info/200070/museums_and_galleries/190/harrow_museum,10002293456,E09000015,Headstone,E05013550,51.59396486,-0.353505542,514147.4368,189629.9386
Hackney Museum,1 Reading Lane,NA,NA,Hackney,http://www.hackney.gov.uk/cm-museum.htm,10008313143,E09000012,Homerton,E05009376,51.54397082,-0.054481199,535006.6997,184579.3952
House Mill,Three Mill Lane,Bromley-by-Bow,NA,Newham,NA,10008997232,E09000025,Stratford,E05013924,51.52689584,-0.005984978,538421.0758,182771.1126
Royal Museums Greenwich,National Maritime Museum,Greenwich,NA,Greenwich,http://www.rmg.co.uk/,10010231322,E09000011,Greenwich Park,E05014081,51.48063722,-0.002131999,538828.8675,177634.5231
Eltham Palace,Court Yard,NA,NA,Greenwich,http://www.english-heritage.org.uk/elthampalace,10010235842,E09000011,Eltham Town & Avery Hill,E05014079,51.44646434,0.049538845,542522.9353,173933.6759
National Maritime Museum,Romney Road,NA,NA,Greenwich,http://www.rmg.co.uk/national-maritime-museum#,10010243516,E09000011,Greenwich Park,E05014081,51.48042509,-0.003622409,538726.0229,177608.1127
