LSOA21CD,Index of Multiple Deprivation (IMD) Score,pop_65plus
E01000001,6.2,0.2600127145581691
E01000002,5.1,0.2082444918265814
E01000003,19.4,0.19751552795031055
E01000005,28.7,0.08514492753623189
E01032739,13.6,0.02510716472749541
E01032740,15.8,0.06240822320117474
E01000006,19.8,0.09021323127392017
E01000007,31.6,0.017599436818021823
E01000008,37.6,0.02289639381797367
E01000009,32.8,0.08857938718662953
E01034473,32.4,0.04404945904173107
E01034474,32.4,0.01347103726986978
E01000011,30.7,0.06542617046818727
E01000012,34.7,0.036862408915559364
E01000013,39.0,0.09308655416439847
E01000014,35.7,0.09648127128263337
E01000015,33.6,0.06780366056572379
E01000016,32.8,0.08081363386476086
E01000017,39.0,0.09369577790630422
E01000018,33.4,0.08868675383740762
E01000019,33.6,0.0736457699330493
E01000020,36.0,0.10719193770041227
E01000021,38.9,0.07301017354877319
E01000022,34.4,0.08902691511387163
E01034472,36.9,0.007982969664715274
E01034471,36.9,0.03406510219530658
E01000024,29.3,0.08788282290279627
E01000025,36.7,0.11585993820803296
E01000027,37.3,0.0892337536372454
E01000028,40.1,0.11177105831533478
E01000029,22.5,0.21620171673819744
E01000030,38.4,0.06800618238021638
E01000031,22.7,0.15191986644407346
E01000032,30.0,0.1194322075379344
E01000033,38.0,0.10465116279069768
E01000034,35.9,0.17496886674968867
E01000035,26.2,0.13837837837837838
E01000036,19.3,0.11227336122733612
E01000037,18.0,0.1570771001150748
E01000038,19.6,0.16544117647058823
E01000039,22.3,0.152428810720268
E01000040,34.6,0.10015898251192369
E01000041,33.2,0.08681135225375626
E01000042,41.6,0.07139023081052066
E01000043,28.1,0.1088348271446863
E01000044,28.4,0.05804480651731161
E01000045,35.7,0.11046847888953153
E01000046,29.8,0.08398133748055987
E01034479,44.7,0.04353741496598639
E01000049,41.2,0.03145951521402785
E01000050,34.7,0.08962520369364475
E01000051,36.9,0.0
E01000052,33.3,0.08576256865230249
E01000053,40.0,0.12606060606060607
E01000054,29.8,0.09941207910208445
E01000055,30.9,0.093935790725327
E01000056,35.9,0.10614192009540847
E01000057,32.9,0.10432569974554708
E01000058,31.8,0.06771799628942486
E01000059,32.3,0.133216986620128
E01000060,36.2,0.09497464269248501
E01000061,46.3,0.05336787564766839
E01000062,26.7,0.11769991015274034
E01000063,33.4,0.0957983193277311
E01000064,35.3,0.12077922077922078
E01000065,39.9,0.13919597989949747
E01000066,25.8,0.09951651893634166
E01000067,21.0,0.11116012351124835
E01000068,25.6,0.115406162464986
E01000069,16.4,0.10368986454927603
E01000070,21.0,0.1297636275928606
E01000071,18.8,0.10096339113680154
E01000072,41.0,0.07516339869281045
E01000073,38.8,0.10685375067458176
E01000074,35.0,0.08863636363636364
E01000075,37.0,0.1116945107398568
E01000076,36.2,0.09379310344827586
E01000077,41.0,0.08698190309398715
E01000078,35.0,0.07298136645962733
E01000079,34.5,0.1132404181184669
E01000080,33.2,0.07065527065527065
E01000081,30.6,0.07633587786259542
E01000082,27.9,0.0825446898002103
E01000083,34.4,0.09585492227979274
E01000084,39.8,0.0963855421686747
E01000085,35.2,0.10805860805860806
E01000086,38.2,0.11103542234332425
E01000087,34.4,0.08318042813455657
E01000088,28.8,0.1272998508204873
E01000089,29.0,0.08147321428571429
E01000090,28.3,0.06742243436754176
E01000091,42.2,0.06848659003831417
